Drug Name,Temperature (oC),Concentration (mM),% Transmittance,Difference from Control
Sodium Citrate Dyhydrate,32,10,38.10658234,42.61692069
Sodium Citrate Dyhydrate,33,10,35.0213863,43.32157798
Sodium Citrate Dyhydrate,34,10,33.06232064,43.49734005
Sodium Citrate Dyhydrate,35,10,31.93988391,43.33787247
Sodium Citrate Dyhydrate,36,10,31.26079367,43.26958595
Sodium Citrate Dyhydrate,37,10,30.8318795,43.29914463
Sodium Citrate Dyhydrate,38,10,30.24591078,43.60117022
Sodium Citrate Dyhydrate,39,10,30.03769939,43.52652606
Sodium Citrate Dyhydrate,40,10,29.73947745,44.10760354
Potassium Phosphate Dibasic,25,0,100,0
Potassium Phosphate Dibasic,26,0,98.1747943,0
Potassium Phosphate Dibasic,27,0,97.27472238,0
Potassium Phosphate Dibasic,28,0,97.87384875,0
Potassium Phosphate Dibasic,29,0,97.94899854,0
Potassium Phosphate Dibasic,30,0,97.12551471,0
Potassium Phosphate Dibasic,31,0,95.86645468,0
Potassium Phosphate Dibasic,32,0,94.47857479,0
Potassium Phosphate Dibasic,33,0,94.2612801,0
Potassium Phosphate Dibasic,34,0,94.33365608,0
Potassium Phosphate Dibasic,35,0,94.2612801,0
Potassium Phosphate Dibasic,36,0,94.33365608,0
Potassium Phosphate Dibasic,37,0,94.55111761,0
Potassium Phosphate Dibasic,38,0,94.62371614,0
Potassium Phosphate Dibasic,39,0,94.62371614,0
Potassium Phosphate Dibasic,40,0,94.33365608,0
Potassium Phosphate Dibasic,25,2,92.25714272,7.742857285
Potassium Phosphate Dibasic,26,2,89.39913842,8.77565588
Potassium Phosphate Dibasic,27,2,85.24455867,12.03016371
Potassium Phosphate Dibasic,28,2,83.17637711,14.69747164
Potassium Phosphate Dibasic,29,2,78.16278046,19.78621808
Potassium Phosphate Dibasic,30,2,68.7595987,28.36591602
Potassium Phosphate Dibasic,31,2,56.84164876,39.02480592
Potassium Phosphate Dibasic,32,2,49.54501908,44.93355571
Potassium Phosphate Dibasic,33,2,46.66593803,47.59534207
Potassium Phosphate Dibasic,34,2,45.74391524,48.58974084
Potassium Phosphate Dibasic,35,2,45.1162852,49.1449949
Potassium Phosphate Dibasic,36,2,44.56562484,49.76803124
